-112, -130, 132 
-364, -301, -410, -334 
-364, -301, -410, -334 
-364, -301, -410, -334 
-364, -301, -410, -334 
-364, -301, -410, -334 
-364, -301, -410, -334 
-364, -301, -410, -334 3, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 
-441, -443, -485, -473 0, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -566 
-529, -540, -573, -5, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -883, -999, -905 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-964, -957, -999, -978 
-1039, -957, -1073, -978 
-1039, -957, -1073, -978 
-1039, -957, -1073, -978 
-1039, -957, -1073, -978 
-1039, -957, -1073, -978 
-1039, -957, -1073, -978 
-1039, -957, -1073, -978 
-1039, -957, -1073, -978 
-1039, -957, -1073, -978 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1039, -1032, -1073, -1048 
-1100, -1032, -1135, -1048 
-1100, -1032, -1135, -1048 
-1100, -1032, -1135, -1048 
-1100, -1032, -1135, -1048 
-1100, -1032, -1135, -1048 
-1100, -1032, -1135, -1048 
-1100, -1032, -1135, -1048 
-1100, -1032, -1135, -1048 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
-1100, -1087, -1135, -1105 
0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 0, 0, 0 
0, 031, -28 
-31, -24, -31, -28 
-31, -24, -31, -28 
-31, -24, -31, -28 
-31, -24, -31, -28 
-31, -24, -31, -28 
-31, -24, -31, -28 
-31, -24, -31, -28 
-31, -24, -31, -28 
-31, -54, -31, -78 
-31, -54, -31, -78 
-31, -54, -31, -78 
-31, -54, -31, -78 
-31, -54, -31, -78 
-31, -54, -31, -78 
-31, -54, -31, -78 
-31, -54, -31, -78 
-31, -54, -31, -78 
--132 
-77, -94, -129, -132 
-77, -94, -129, -132 
-77, -94, -129, -132 
-77, -94, -129, -132 
-77, -94, -129, -132 
-77, -94, -129, -132 
-77, -94, -129, -132 
-77, -94, -129, -132 
-77, -139, -129, -204 
-77, -139, -129, -204 
-77, -139, -129, -204 
-77, -139, -129, -204 
-77, -139, -129, -204 
-77, -139, -129, -204 
-77, -139, -129, -204 
-77, -11, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 
-120, -201, -184, -293 5, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 
-192, -275, -261, -362 3, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 
-344, -433, -420, -514 4, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 
-430, -524, -506, -599 7, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704, -789 
-627, -721, -704,891, -981 
-818, -918, -891, -981 
-818, -918, -891, -981 
-818, -918, -891, -981 
-818, -918, -891, -981 
-818, -918, -891, -981 
-818, -918, -891, -981 
-818, -918, -891, -981 
-818, -918, -891, -981 
-818, -918, -891, -981 
-905, -918, -981, -981 
-905, -918, -981, -981 
-905, -918, -981, -981 
-905, -918, -981, -981 
-905, -918, -981, -981 
-90, -1202, -1268, -1251 
-1191, -1202, -1268, -1251 
-1191, -1202, -1268, -1251 
-1191, -1202, -1268, -1251 
-1191, -1202, -1268, -1251 
-1191, -1202, -1268, -1251 
-1191, -1202, -1268, -1251 
-1191, -1202, -1268, -1251 
-1191, -1202, -1268, -1251 
-1191, -1297, -1268, -1345 
-1191, -1297, -1268, -1345 
-1191, -1297, -1268, -1345 
-1191, -1297, -1268, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1505 
-1356, -1461, -1428, -1538, -1510, -1583 
-1514, -1538, -1587, -1583 
-1514, -1538, -1587, -1583 
-1514, -1538, -1587, -1583 
-1514, -1538, -1587, -1583 
-1514, -1538, -1587, -1583 
-1514, -1538, -1587, -1583 
-1514, -1538, -1587, -1583 
-1514, -1538, -1587, -1583 
-1514, -1538, -1587, -1583 
-1514, -1616, -1587, -1659 
-1514, -1616, -1587, -1659 
-1514, -1616, -1587, -1726, -1691, -1764 
-1622, -1726, -1691, -1764 
-1622, -1726, -1691, -1764 
-1622, -1726, -, -2527, -2485, -2552 
-2421, -2527, -2485, -2552 
-242, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2727 
-2600, -2703, -2661, -2862, -2815, -2882 
-2833, -2862, -2891, -2882 
-2833, -2862, -2891, -2882 
-2833, -2862, -2891, -2882 
-2833, -2862, -2891, -2882 
-2833, -2862, -2891, -2882 
-2833, -2862, -2891, -2882 
-2833, -2862, -2891, -2882 
-2833, -2862, -2891, -2882 
-2833, -2862, -2891, -2882 
-2833, -2862, -2891, -2882 
-2833, -2932, -2891, -2952 
-2833, -2932, -2891, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3041 
-2917, -3019, -2973, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3141 
-3022, -3123, -3078, -3199, -3238, -3220 
-3182, -3199, -3238, -3220 
-3182, -3199, -3238, -3220 
-3182, -3199, -3238, -3220 
-3182, -3199, -3238, -3220 
-3182, -3199, -3238, -3220 
-3182, -3199, -3238, -3220 
-3182, -3199, -3238, -3220 
-3182, -3199, -3238, -3220 
-3182, -3199, -3238, -3220 
-3182, -3279, -3238, -3285 
-3182, -3279, -3238, -3285 
-3182, -3279, -3238, -3279, -3313, -3285 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3292 
-3269, -3354, -3313, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3357, -3404, -3378, -3328 
-3445, -3404, -3432, -3493, -3483, -3454 
-3508, -3493, -3483, -3454 
-3508, -3493, -3483, -3454 
-3508, -3493, -3483, -3454 
-3508, -3493, -3483, -3454 
-3508, -3493, -3483, -3454 
-3508, -3493, -3483, -3454 
-3508, -3493, -3483, -3454 
-3508, -3493, -3483, -3454 
-3508, -3493, -3483, -3454 
-3541, -3493, -3537, -3454 
-3541, -3493, -3537, -3454 
-3541, -3493, -3537, -3454 
-3541, -3493, -3537, -3454 
-3541, -3493, -3537, -3454 
-3541, -3493, -3537, -3454 
-3541, -3493, -3537, -3454 
-3541, -3493, -3537, -3454 
-3541, -3493, -3537, -3499 
-3541, -3537, -3537, -3499 
-3541, -3537, -3537, -3499 
-3541, -3537, -3537, -3499 
-3541, -3537, -3537, -3499 
-3541, -3537, -3537, -3499 
-3541, -3537, -3537, -3499 
-3541581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -3563 
-3593, -3581, -3591, -33653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-3632, -3627, -3653, -3620 
-10, -16, 16 
-12, 10, -16, 16 
-12, 10, -16, 16 
-12, 10, -16, 16 
-12, 10, -16, 16 
-12, 10, 12, 449, 375, 420 
412, 449, 375, 420 
412, 449, 375, 476, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 539, 586 
576, 609, 593, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 771 
763, 793, 725, 7 960 
952, 975, 909, 960 
952, 975, 909, 960 
952, 975, 909, 960 
952, 975, 909, 960 
952, 975, 909, 960 
952, 975, 909, 960 
952, 975, 909, 960 
952, 975, 909, 960 
952, 975, 909, 960 
952, 975, 909, 960 
1033, 975, 995, 960 
1033, 975, 995, 960 
1033, 975, 995, 960 
1033, 975, 995, 960 
1033, 975, 995, 960 
1033, 975, 995, 960 
1033, 975, 995, 966, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
1213, 1246, 1177, 1234 
