-101, -119, 142 
1066, -1162, -1076, 1106 
1066, -1162, -1076, 1106 
1066, -1162, -1076, 1106 
1066, -1162, -1076, 1106 
1066, -1162, -1076, 1106 
1066, -1162, -1076, 1176 
1066, -1162, -1076, 1176 
1066, -1162, -1076, 1176 
1066, -1162, -107 -1235, -1141, 1255 
1139, -1235, -1141, 1255 
1139, -1235, -1141, 1255 
1139, -1235, -1141, 1255 
1139, -1235, -1141, 1255 
1139, -1235, -1141, 1255 
1139, -1235, -1141, 1255 
1212, -1235, -1220, 1255 
1212, -1235, -1220, 1255 
1212, -1235, -1220, 1255 
1212, -1235, -1220, 1255 
1212, -1235, -1220, 1255 
1212, -1235, -1220, 1255 
1212, -1235, -122 -1312, -1220, 1334 
1212, -1312, -1220, 1334 
1294, -1312, -1295, 1334 
1294, -1312, -1295, 1334 
1294, -1312, -1295, 1334 
1294, -1312, -1295, 1334 
1294, -1312, -1295, 1334 
1294, -1312, -1295, 1334 
1294, -1312, -1295, 1334 
1294, -1312, -1295, 1334 
1294, -1312, -1295, 1334 
1294, -1395, -1295, 1334 
1294, -1395, -1295, 1334 
1294, -1395, -129 -1483, -1461, 1495 
1460, -1483, -1461, 1495 
1460, -1483, -1461, 1495 
1460, -1483, -1461, 1495 
1460, -1561, -1461, 1495 
1460, -1561, -1461, 1495 
1460, -1561, -1461, 1495 
1460, -1561, -1461, 1495 
1460, -1561, -1461, 1495 
1460, -1561, -1461, 1495 
1460, -1561, -1461, 1495 
1460, -1561, -1461, 1495 
1460, -1561, -1461, 1495 
1460, -1561, -146 -1721, -1621, 1648 
1623, -1721, -1621, 1648 
1623, -1721, -1621, 1648 
1623, -1721, -1621, 1 -2448, -2347, 2397 
2356, -2448, -2347, 2397 
2356, -2 -2525, -2422, 2472 
2434, -2525, -2422, 2472 
2434, -2525, -2422, 2472 
2434, -2525, -2422, 2472 
2434, -2525, -2422, 2472 
2434, -2525, -2422, 2472 
2434, -2525, -2422, 2546 
2434, -2525, -2422, 2546 
2434, -2525, -2422, 2546 
2434, -2525, -2422, 2546 
2434, -2525, -2422, 2546 
2434, -2525, -2422, 2546 
2434, -2525, -2422, 2546 
2434, -2525, -242 -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -2495, 2616 
2504, -2600, -249 -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2686, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
2666, -2768, -2659, 2703 
